,Berufliche Ausbildung,Berufsgruppe,Erwerbstaetigkeit,Familienstand,Geburtsjahr,Geburtsland,Geschlecht,Hoechster Bildungsabschluss,Nationalitaet,Nettoeinkommen Haushalt,Nettoeinkommen Selbst,Personen im Haushalt,Umfrage
5357,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1948,Deutschland,Männlich,Hauptschulabschluss,Deutschland,1300 bis unter 1500 €,1300 bis unter 1500 €,2,GESIS
5358,Ausbildung an Fachschule der DDR,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1968,Deutschland,Männlich,Realschulabschluss,Deutschland,4000 bis unter 5000 €,2000 bis unter 2300 €,2,GESIS
5359,Beruflich-betriebliche Berufsausbildung,Arbeiter/-in,Teilzeiterwerbstätig,Verheiratet,1970,Deutschland,Weiblich,Realschulabschluss,Deutschland,4000 bis unter 5000 €,500 bis unter 700 €,5 und mehr,GESIS
5360,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1966,Andere,Männlich,Abitur,Deutschland,2600 bis unter 3200 €,2300 bis unter 2600 €,5 und mehr,GESIS
5361,Student/-in,Missing by filter,Nicht erwerbstätig,Ledig,1989,Deutschland,Männlich,Abitur,Deutschland,Missing by filter,300 bis unter 500 €,1,GESIS
5362,Universitätsabschluss,"Beamter/-in, Richter/-in, Berufssoldat/-in",Teilzeiterwerbstätig,Verheiratet,1973,Deutschland,Weiblich,Abitur,Deutschland,4000 bis unter 5000 €,900 bis unter 1100 €,5 und mehr,GESIS
5363,Anderer beruflicher Abschluss,Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1957,Andere,Weiblich,Realschulabschluss,Deutschland,2300 bis unter 2600 €,500 bis unter 700 €,3,GESIS
5364,Ausbildung an Fachschule der DDR,Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1954,Deutschland,Weiblich,Realschulabschluss,Deutschland,2600 bis unter 3200 €,1100 bis unter 1300 €,2,GESIS
5365,Student/-in,Missing by filter,Nicht erwerbstätig,Verheiratet,1986,Andere,Weiblich,Abitur,Andere,2000 bis unter 2300 €,Kein eigenes Einkommen,3,GESIS
5366,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung",Arbeiter/-in,Vollzeiterwerbstätig,Verheiratet,1961,Deutschland,Männlich,Andere,Deutschland,Missing by filter,Item nonresponse,4,GESIS
5367,Universitätsabschluss,Selbstständiger,Nicht erwerbstätig,Ledig,1955,Deutschland,Männlich,Abitur,Deutschland,Missing by filter,1500 bis unter 1700 €,1,GESIS
5368,Beruflich-betriebliche Berufsausbildung,"Beamter/-in, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Verheiratet,1958,Deutschland,Männlich,Hauptschulabschluss,Deutschland,2300 bis unter 2600 €,2300 bis unter 2600 €,2,GESIS
5369,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung",Missing by filter,Nicht erwerbstätig,Verheiratet,1961,Deutschland,Männlich,Hauptschulabschluss,Deutschland,900 bis unter 1100 €,700 bis unter 900 €,3,GESIS
5370,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1978,Deutschland,Männlich,Hauptschulabschluss,Deutschland,700 € und weniger,300 bis unter 500 €,4,GESIS
5371,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1964,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,2300 bis unter 2600 €,300 bis unter 500 €,4,GESIS
5372,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1949,Deutschland,Männlich,Hauptschulabschluss,Deutschland,Missing by filter,Item nonresponse,2,GESIS
5373,Fachhochschulabschluss,Missing by filter,Nicht erwerbstätig,Ledig,1993,Deutschland,Männlich,Abitur,Deutschland,2000 bis unter 2300 €,Kein eigenes Einkommen,4,GESIS
5374,Beruflich-betriebliche Berufsausbildung,Arbeiter/-in,Vollzeiterwerbstätig,Verheiratet,1954,Andere,Männlich,Realschulabschluss,Deutschland,1700 bis unter 2000 €,1100 bis unter 1300 €,2,GESIS
5375,Item nonresponse,Missing by filter,Nicht erwerbstätig,Verheiratet,1949,Deutschland,Weiblich,Realschulabschluss,Deutschland,1700 bis unter 2000 €,700 bis unter 900 €,2,GESIS
5376,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Selbstständiger,Vollzeiterwerbstätig,Ledig,1965,Deutschland,Männlich,Hochschulabschluss,Deutschland,Missing by filter,1500 bis unter 1700 €,1,GESIS
5377,Anderer beruflicher Abschluss,Arbeiter/-in,Vollzeiterwerbstätig,Verheiratet,1971,Andere,Männlich,Realschulabschluss,Andere,Missing by filter,Item nonresponse,3,GESIS
5378,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1968,Deutschland,Männlich,Hauptschulabschluss,Deutschland,2600 bis unter 3200 €,2000 bis unter 2300 €,3,GESIS
5379,Noch in beruflicher Ausbildung,Missing by filter,Vollzeiterwerbstätig,Ledig,1992,Andere,Männlich,Hauptschulabschluss,Deutschland,4000 bis unter 5000 €,700 bis unter 900 €,3,GESIS
5380,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Ledig,1965,Deutschland,Weiblich,Realschulabschluss,Deutschland,Weiß nicht,1500 bis unter 1700 €,5 und mehr,GESIS
5381,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Ledig,1982,Andere,Männlich,Hauptschulabschluss,Deutschland,Missing by filter,Item nonresponse,1,GESIS
5382,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1980,Andere,Weiblich,Hauptschulabschluss,Andere,2000 bis unter 2300 €,unter 300 €,4,GESIS
5383,Beruflich-schulische Ausbildung,Ausbildung,Vollzeiterwerbstätig,Verheiratet,1970,Deutschland,Weiblich,Hochschulabschluss,Deutschland,2600 bis unter 3200 €,unter 300 €,4,GESIS
5384,Anderer beruflicher Abschluss,Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1977,Deutschland,Weiblich,Hochschulabschluss,Deutschland,3200 bis unter 4000 €,700 bis unter 900 €,3,GESIS
5385,Student/-in,Angestellte(r),Teilzeiterwerbstätig,Ledig,1993,Deutschland,Weiblich,Abitur,Deutschland,2600 bis unter 3200 €,300 bis unter 500 €,4,GESIS
5386,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1962,Deutschland,Männlich,Hauptschulabschluss,Deutschland,Missing by filter,Item nonresponse,3,GESIS
5387,Universitätsabschluss,Selbstständiger,Vollzeiterwerbstätig,Verheiratet,1983,Deutschland,Weiblich,Abitur,Deutschland,4000 bis unter 5000 €,1100 bis unter 1300 €,2,GESIS
5388,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Ledig,1987,Deutschland,Männlich,Hochschulabschluss,Deutschland,Weiß nicht,300 bis unter 500 €,3,GESIS
5389,Beruflich-betriebliche Berufsausbildung,Arbeiter/-in,Vollzeiterwerbstätig,Verheiratet,1966,Deutschland,Männlich,Hauptschulabschluss,Deutschland,3200 bis unter 4000 €,2000 bis unter 2300 €,3,GESIS
5390,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1962,Deutschland,Weiblich,Realschulabschluss,Deutschland,4000 bis unter 5000 €,2000 bis unter 2300 €,2,GESIS
5391,Universitätsabschluss,Angestellte(r),Vollzeiterwerbstätig,Ledig,1984,Deutschland,Männlich,Abitur,Deutschland,Missing by filter,2000 bis unter 2300 €,1,GESIS
5392,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung",Missing by filter,Nicht erwerbstätig,Geschieden,1968,Andere,Weiblich,Hauptschulabschluss,Andere,Missing by filter,Item nonresponse,1,GESIS
5393,Beruflich-schulische Ausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1963,Deutschland,Weiblich,Realschulabschluss,Deutschland,Item nonresponse,Kein eigenes Einkommen,2,GESIS
5394,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1957,Deutschland,Weiblich,Abitur,Deutschland,2300 bis unter 2600 €,1300 bis unter 1500 €,2,GESIS
5395,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Geschieden,1952,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,Missing by filter,900 bis unter 1100 €,1,GESIS
5396,Missing by filter,Missing by filter,Nicht erwerbstätig,Ledig,1994,Deutschland,Männlich,Andere,Deutschland,Weiß nicht,Kein eigenes Einkommen,4,GESIS
5397,Fachhochschulabschluss,Missing by filter,Nicht erwerbstätig,Verheiratet,1974,Andere,Weiblich,Abitur,Deutschland,5000 bis unter 6000 €,3200 bis unter 4000 €,4,GESIS
5398,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1948,Deutschland,Männlich,Hauptschulabschluss,Deutschland,1500 bis unter 1700 €,700 bis unter 900 €,2,GESIS
5399,Ausbildung an Fachschule der DDR,Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1952,Deutschland,Weiblich,Realschulabschluss,Deutschland,2300 bis unter 2600 €,1300 bis unter 1500 €,2,GESIS
5400,Universitätsabschluss,Missing by filter,Nicht erwerbstätig,Verheiratet,1957,Deutschland,Weiblich,Abitur,Deutschland,700 € und weniger,unter 300 €,4,GESIS
5401,Universitätsabschluss,"Beamter/-in, Richter/-in, Berufssoldat/-in",Teilzeiterwerbstätig,Verheiratet,1950,Deutschland,Weiblich,Abitur,Deutschland,3200 bis unter 4000 €,2000 bis unter 2300 €,2,GESIS
5402,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1966,Deutschland,Weiblich,Realschulabschluss,Deutschland,6000 € und mehr,900 bis unter 1100 €,4,GESIS
5403,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung",Missing by filter,Nicht erwerbstätig,Verheiratet,1945,Andere,Männlich,Andere,Andere,1500 bis unter 1700 €,500 bis unter 700 €,3,GESIS
5404,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Ledig,1988,Deutschland,Männlich,Hochschulabschluss,Deutschland,2600 bis unter 3200 €,500 bis unter 700 €,3,GESIS
5405,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Teilzeiterwerbstätig,Geschieden,1961,Deutschland,Weiblich,Realschulabschluss,Deutschland,1700 bis unter 2000 €,1500 bis unter 1700 €,2,GESIS
5406,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Ledig,1977,Deutschland,Männlich,Hauptschulabschluss,Deutschland,Missing by filter,1100 bis unter 1300 €,1,GESIS
5407,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Teilzeiterwerbstätig,Geschieden,1973,Deutschland,Weiblich,Hauptschulabschluss,Andere,1100 bis unter 1300 €,1100 bis unter 1300 €,4,GESIS
5408,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1945,Deutschland,Männlich,Hauptschulabschluss,Deutschland,2600 bis unter 3200 €,1100 bis unter 1300 €,3,GESIS
5409,Beruflich-betriebliche Berufsausbildung,Selbstständiger,Vollzeiterwerbstätig,Ledig,1955,Deutschland,Männlich,Hauptschulabschluss,Deutschland,3200 bis unter 4000 €,900 bis unter 1100 €,2,GESIS
5410,Universitätsabschluss,Selbstständiger,Vollzeiterwerbstätig,Verheiratet,1970,Deutschland,Männlich,Abitur,Deutschland,Missing by filter,Item nonresponse,3,GESIS
5411,Beruflich-schulische Ausbildung,Missing by filter,Nicht erwerbstätig,Ledig,1948,Deutschland,Männlich,Hauptschulabschluss,Deutschland,Missing by filter,1500 bis unter 1700 €,1,GESIS
5412,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung",Arbeiter/-in,Teilzeiterwerbstätig,Verheiratet,1977,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,2300 bis unter 2600 €,unter 300 €,5 und mehr,GESIS
5413,Fachhochschulabschluss,Angestellte(r),Vollzeiterwerbstätig,Ledig,nan,Deutschland,Männlich,Hochschulabschluss,Deutschland,Missing by filter,Item nonresponse,3,GESIS
5414,Noch in beruflicher Ausbildung,Missing by filter,Vollzeiterwerbstätig,Ledig,1995,Deutschland,Männlich,Abitur,Deutschland,Weiß nicht,unter 300 €,5 und mehr,GESIS
5415,Beruflich-schulische Ausbildung,Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1953,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,2000 bis unter 2300 €,900 bis unter 1100 €,2,GESIS
5416,Noch in beruflicher Ausbildung,Missing by filter,Vollzeiterwerbstätig,Ledig,1992,Deutschland,Weiblich,Abitur,Deutschland,2600 bis unter 3200 €,700 bis unter 900 €,4,GESIS
5417,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Geschieden,1958,Deutschland,Männlich,Realschulabschluss,Deutschland,Missing by filter,1100 bis unter 1300 €,1,GESIS
5418,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1980,Deutschland,Männlich,Hauptschulabschluss,Deutschland,1500 bis unter 1700 €,1500 bis unter 1700 €,2,GESIS
5419,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1968,Deutschland,Männlich,Hauptschulabschluss,Deutschland,2600 bis unter 3200 €,1700 bis unter 2000 €,4,GESIS
5420,Universitätsabschluss,Angestellte(r),Vollzeiterwerbstätig,Ledig,1952,Deutschland,Weiblich,Abitur,Deutschland,Missing by filter,1700 bis unter 2000 €,1,GESIS
5421,Universitätsabschluss,Angestellte(r),Vollzeiterwerbstätig,Ledig,1967,Deutschland,Weiblich,Abitur,Deutschland,3200 bis unter 4000 €,2000 bis unter 2300 €,3,GESIS
5422,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1974,Deutschland,Weiblich,Realschulabschluss,Deutschland,4000 bis unter 5000 €,900 bis unter 1100 €,5 und mehr,GESIS
5423,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Missing by filter,Nicht erwerbstätig,Verheiratet,1944,Deutschland,Männlich,Hauptschulabschluss,Deutschland,2600 bis unter 3200 €,700 bis unter 900 €,5 und mehr,GESIS
5424,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1952,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,Missing by filter,Item nonresponse,2,GESIS
5425,Beruflich-schulische Ausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1947,Deutschland,Weiblich,Hochschulabschluss,Deutschland,3200 bis unter 4000 €,unter 300 €,2,GESIS
5426,Beruflich-betriebliche Berufsausbildung,"Beamter/-in, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Ledig,1964,Andere,Weiblich,Realschulabschluss,Deutschland,Missing by filter,2000 bis unter 2300 €,1,GESIS
5427,Universitätsabschluss,Missing by filter,Nicht erwerbstätig,Verheiratet,1982,Andere,Weiblich,Hochschulabschluss,Deutschland,1700 bis unter 2000 €,300 bis unter 500 €,3,GESIS
5428,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1950,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,2000 bis unter 2300 €,900 bis unter 1100 €,2,GESIS
5429,Beruflich-betriebliche Berufsausbildung,Arbeiter/-in,Teilzeiterwerbstätig,Geschieden,1964,Deutschland,Weiblich,Realschulabschluss,Deutschland,1300 bis unter 1500 €,700 bis unter 900 €,2,GESIS
5430,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Angestellte(r),Vollzeiterwerbstätig,Ledig,1982,Deutschland,Männlich,Realschulabschluss,Deutschland,3200 bis unter 4000 €,2000 bis unter 2300 €,2,GESIS
5431,Beruflich-schulische Ausbildung,Missing by filter,Vollzeiterwerbstätig,Ledig,1992,Deutschland,Weiblich,Realschulabschluss,Deutschland,3200 bis unter 4000 €,300 bis unter 500 €,4,GESIS
5432,Student/-in,Missing by filter,Nicht erwerbstätig,Ledig,1994,Deutschland,Weiblich,Abitur,Deutschland,Weiß nicht,700 bis unter 900 €,2,GESIS
5433,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung",Angestellte(r),Teilzeiterwerbstätig,Geschieden,1970,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,1100 bis unter 1300 €,900 bis unter 1100 €,3,GESIS
5434,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Ledig,1968,Deutschland,Männlich,Hauptschulabschluss,Deutschland,Missing by filter,700 bis unter 900 €,1,GESIS
5435,Beruflich-betriebliche Berufsausbildung,Arbeiter/-in,Teilzeiterwerbstätig,Verheiratet,1967,Andere,Weiblich,Hauptschulabschluss,Andere,700 bis unter 900 €,500 bis unter 700 €,3,GESIS
5436,Universitätsabschluss,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1967,Deutschland,Männlich,Abitur,Deutschland,Missing by filter,Item nonresponse,3,GESIS
5437,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Ledig,1961,Deutschland,Männlich,Realschulabschluss,Deutschland,Missing by filter,3200 bis unter 4000 €,1,GESIS
5438,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1969,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,3200 bis unter 4000 €,900 bis unter 1100 €,3,GESIS
5439,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung",Missing by filter,Nicht erwerbstätig,Geschieden,1948,Deutschland,Männlich,Hauptschulabschluss,Deutschland,Missing by filter,300 bis unter 500 €,1,GESIS
5440,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1980,Deutschland,Weiblich,Realschulabschluss,Deutschland,2000 bis unter 2300 €,Kein eigenes Einkommen,3,GESIS
5441,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1969,Deutschland,Männlich,Hauptschulabschluss,Deutschland,2000 bis unter 2300 €,1500 bis unter 1700 €,4,GESIS
5442,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1975,Deutschland,Weiblich,Realschulabschluss,Deutschland,2000 bis unter 2300 €,700 bis unter 900 €,5 und mehr,GESIS
5443,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1950,Deutschland,Weiblich,Abitur,Deutschland,2600 bis unter 3200 €,1500 bis unter 1700 €,2,GESIS
5444,Beruflich-betriebliche Berufsausbildung,Selbstständiger,Vollzeiterwerbstätig,Verheiratet,1965,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,2000 bis unter 2300 €,500 bis unter 700 €,2,GESIS
5445,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1976,Andere,Weiblich,Realschulabschluss,Andere,2300 bis unter 2600 €,700 bis unter 900 €,4,GESIS
5446,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung",Missing by filter,Nicht erwerbstätig,Ledig,1963,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,Missing by filter,500 bis unter 700 €,1,GESIS
5447,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1955,Deutschland,Weiblich,Realschulabschluss,Deutschland,Missing by filter,2600 bis unter 3200 €,1,GESIS
5448,Universitätsabschluss,Missing by filter,Nicht erwerbstätig,Verheiratet,1948,Deutschland,Weiblich,Abitur,Deutschland,3200 bis unter 4000 €,2000 bis unter 2300 €,2,GESIS
5449,Universitätsabschluss,"Beamter/-in, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Ledig,1959,Deutschland,Männlich,Abitur,Deutschland,Missing by filter,2300 bis unter 2600 €,1,GESIS
5450,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie","Beamter/-in, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Verheiratet,1969,Deutschland,Männlich,Realschulabschluss,Deutschland,4000 bis unter 5000 €,2600 bis unter 3200 €,4,GESIS
5451,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Ledig,1960,Deutschland,Männlich,Hochschulabschluss,Deutschland,Missing by filter,300 bis unter 500 €,1,GESIS
5452,Fachhochschulabschluss,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1980,Deutschland,Männlich,Hochschulabschluss,Deutschland,3200 bis unter 4000 €,1700 bis unter 2000 €,2,GESIS
5453,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung",Missing by filter,Nicht erwerbstätig,Ledig,1992,Deutschland,Männlich,Andere,Deutschland,900 bis unter 1100 €,Kein eigenes Einkommen,5 und mehr,GESIS
5454,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1971,Deutschland,Weiblich,Realschulabschluss,Deutschland,3200 bis unter 4000 €,1700 bis unter 2000 €,4,GESIS
5455,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1961,Deutschland,Männlich,Realschulabschluss,Deutschland,4000 bis unter 5000 €,3200 bis unter 4000 €,2,GESIS
5456,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Angestellte(r),Vollzeiterwerbstätig,Geschieden,1964,Deutschland,Weiblich,Hochschulabschluss,Deutschland,1700 bis unter 2000 €,1700 bis unter 2000 €,2,GESIS
5457,Beruflich-schulische Ausbildung,Angestellte(r),Vollzeiterwerbstätig,Ledig,1991,Deutschland,Weiblich,Hochschulabschluss,Deutschland,2300 bis unter 2600 €,1300 bis unter 1500 €,2,GESIS
5458,Beruflich-betriebliche Berufsausbildung,Missing by filter,Teilzeiterwerbstätig,Verheiratet,1951,Deutschland,Weiblich,Realschulabschluss,Deutschland,4000 bis unter 5000 €,2600 bis unter 3200 €,2,GESIS
5459,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1945,Deutschland,Weiblich,Realschulabschluss,Deutschland,1300 bis unter 1500 €,300 bis unter 500 €,2,GESIS
5460,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung",Arbeiter/-in,Vollzeiterwerbstätig,Verheiratet,1978,Andere,Männlich,Hochschulabschluss,Deutschland,3200 bis unter 4000 €,2600 bis unter 3200 €,4,GESIS
5461,Beruflich-betriebliche Berufsausbildung,Arbeiter/-in,Vollzeiterwerbstätig,Ledig,1976,Deutschland,Männlich,Realschulabschluss,Deutschland,2300 bis unter 2600 €,1500 bis unter 1700 €,2,GESIS
5462,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung",Missing by filter,Nicht erwerbstätig,Verheiratet,1979,Andere,Weiblich,Andere,Andere,1500 bis unter 1700 €,300 bis unter 500 €,5 und mehr,GESIS
5463,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Selbstständiger,Vollzeiterwerbstätig,Verheiratet,1961,Deutschland,Männlich,Abitur,Deutschland,5000 bis unter 6000 €,3200 bis unter 4000 €,2,GESIS
5464,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1975,Deutschland,Weiblich,Abitur,Deutschland,Missing by filter,Item nonresponse,3,GESIS
5465,Universitätsabschluss,"Beamter/-in, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Verheiratet,1975,Deutschland,Männlich,Abitur,Deutschland,4000 bis unter 5000 €,3200 bis unter 4000 €,4,GESIS
5466,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1960,Deutschland,Weiblich,Realschulabschluss,Deutschland,1500 bis unter 1700 €,900 bis unter 1100 €,3,GESIS
5467,Student/-in,Missing by filter,Nicht erwerbstätig,Ledig,1994,Deutschland,Weiblich,Abitur,Deutschland,3200 bis unter 4000 €,500 bis unter 700 €,3,GESIS
5468,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1953,Deutschland,Männlich,Andere,Deutschland,2600 bis unter 3200 €,500 bis unter 700 €,2,GESIS
5469,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1975,Deutschland,Männlich,Realschulabschluss,Deutschland,3200 bis unter 4000 €,2300 bis unter 2600 €,5 und mehr,GESIS
5470,Fachhochschulabschluss,Angestellte(r),Teilzeiterwerbstätig,Ledig,1980,Deutschland,Weiblich,Hochschulabschluss,Deutschland,3200 bis unter 4000 €,1300 bis unter 1500 €,3,GESIS
5471,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1949,Andere,Männlich,Realschulabschluss,Deutschland,Missing by filter,Item nonresponse,2,GESIS
5472,Beruflich-betriebliche Berufsausbildung,Arbeiter/-in,Teilzeiterwerbstätig,Geschieden,1972,Deutschland,Weiblich,Realschulabschluss,Deutschland,3200 bis unter 4000 €,700 bis unter 900 €,5 und mehr,GESIS
5473,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Geschieden,1960,Andere,Männlich,Hauptschulabschluss,Andere,Missing by filter,900 bis unter 1100 €,1,GESIS
5474,Beruflich-betriebliche Berufsausbildung,Mithelfende(r) Familienangehörige(r),Teilzeiterwerbstätig,Verheiratet,1950,Deutschland,Weiblich,Realschulabschluss,Deutschland,Item nonresponse,Kein eigenes Einkommen,2,GESIS
5475,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1951,Deutschland,Männlich,Realschulabschluss,Deutschland,1700 bis unter 2000 €,1100 bis unter 1300 €,2,GESIS
5476,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1946,Deutschland,Weiblich,Realschulabschluss,Deutschland,2000 bis unter 2300 €,900 bis unter 1100 €,2,GESIS
5477,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Selbstständiger,Vollzeiterwerbstätig,Verheiratet,1947,Deutschland,Männlich,Hauptschulabschluss,Deutschland,1500 bis unter 1700 €,1500 bis unter 1700 €,2,GESIS
5478,Universitätsabschluss,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1957,Deutschland,Weiblich,Abitur,Deutschland,3200 bis unter 4000 €,2000 bis unter 2300 €,2,GESIS
5479,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Ledig,1991,Deutschland,Männlich,Realschulabschluss,Deutschland,6000 € und mehr,1700 bis unter 2000 €,3,GESIS
5480,Student/-in,Missing by filter,Nicht erwerbstätig,Ledig,1992,Deutschland,Männlich,Abitur,Deutschland,2600 bis unter 3200 €,unter 300 €,4,GESIS
